,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,media,desviacion,minimimo,maximo,folds,elapsed
10,davincis22,10,"(2521, 2)","(841, 2)",0.7457580931537646,0.7461709022684633,"['detoxis21_aggressiveness', 'exist21', 'misogyny_centrogeo', 'metwo22']",10,0.7501068098381418,0.01735731323305182,0.7267016825847923,0.7781470216166271,"[0.7380705394190871, 0.7267016825847923, 0.7536235915982751, 0.7539912139719276, 0.7781470216166271]",727.8296673789155
11,davincis22,11,"(2521, 2)","(841, 2)",0.7474571519247656,0.747174370345102,"['haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",11,0.7448649361074942,0.016854332314935723,0.7265371591516663,0.7738267800339149,"[0.7480366620701575, 0.7265371591516663, 0.7295868688273752, 0.7463372104543564, 0.7738267800339149]",721.163855659077
12,davincis22,12,"(2521, 2)","(841, 2)",0.7442824666098323,0.7443686394905906,"['exist21', 'haha21', 'misogyny_centrogeo', 'metwo22']",12,0.7468909183063611,0.019149495580500647,0.7247863247863247,0.7778298458740225,"[0.7460077958003268, 0.7247863247863247, 0.7295868688273752, 0.7562437562437563, 0.7778298458740225]",722.1274300331715
13,davincis22,13,"(2521, 2)","(841, 2)",0.7479091995221027,0.7480413895048041,"['exist21', 'mexa3t18_aggress', 'misogyny_centrogeo']",13,0.7483581341121173,0.013663125190055324,0.7343531416569242,0.7696480734455418,"[0.7439761995527591, 0.7343531416569242, 0.7354919766535727, 0.7583212792517884, 0.7696480734455418]",624.5923677152023
14,davincis22,14,"(2521, 2)","(841, 2)",0.7491449252306712,0.7493234407868554,"['detoxis21_aggressiveness', 'exist21', 'mexa3t18_aggress']",14,0.7475057047118979,0.014840270407336783,0.7343531416569242,0.7738267800339149,"[0.7360374770582709, 0.7343531416569242, 0.7394996739770034, 0.7538114508333762, 0.7738267800339149]",610.2234055330046
15,davincis22,15,"(2521, 2)","(841, 2)",0.7526881720430108,0.7528227869691284,"['haha21', 'meoffendes21', 'misogyny_centrogeo', 'metwo22']",15,0.7457812705707575,0.015482225065407928,0.7278920206431123,0.7719094878920207,"[0.7460077958003268, 0.7326069398033036, 0.7278920206431123, 0.7504901087150241, 0.7719094878920207]",763.4150832761079
16,davincis22,16,"(2521, 2)","(841, 2)",0.747824653500663,0.7478679856728637,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",16,0.7495871701150428,0.01018004718421589,0.7397941323390012,0.7677345537757437,"[0.7397941323390012, 0.7404284989858012, 0.7478999603017069, 0.7520787051729609, 0.7677345537757437]",733.0657825579401
17,davincis22,17,"(2521, 2)","(841, 2)",0.747824653500663,0.7478679856728637,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",17,0.7494821131558311,0.012834408573800521,0.7322677322677322,0.7698237141938071,"[0.7400068383055151, 0.7322677322677322, 0.7513210670401732, 0.7539912139719276, 0.7698237141938071]",919.8211290009785
18,davincis22,18,"(2521, 2)","(841, 2)",0.7489766331229746,0.7489766331229746,"['meoffendes21', 'mexa3t18_aggress', 'metwo22']",18,0.7471302064491196,0.009692965188564117,0.7364350912778905,0.7618175825135918,"[0.7458080347311795, 0.7364350912778905, 0.7375991097510084, 0.7539912139719276, 0.7618175825135918]",538.1754514269996
19,davincis22,19,"(2521, 2)","(841, 2)",0.7456815713444024,0.7459974984365229,"['meoffendes21', 'misogyny_centrogeo', 'metwo22']",19,0.7449531531287332,0.014450704984039098,0.7282717282717283,0.7639063120285827,"[0.7399046192436377, 0.7326069398033036, 0.7282717282717283, 0.7600761662964138, 0.7639063120285827]",536.3144767340273
20,davincis22,20,"(2521, 2)","(841, 2)",0.7501282986251789,0.7500852805730854,"['exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo']",20,0.7454882129735797,0.016896249611785912,0.7263637624586363,0.7755689498878799,"[0.7438755410872462, 0.7263637624586363, 0.7333810631823876, 0.7482517482517481, 0.7755689498878799]",977.5625308169983
21,davincis22,21,"(2521, 2)","(841, 2)",0.747824653500663,0.7478679856728637,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'metwo22']",21,0.7480959795684059,0.01735271673128877,0.7265371591516663,0.7759110758237395,"[0.7439761995527591, 0.7265371591516663, 0.7358951965065501, 0.7581602668073142, 0.7759110758237395]",760.4405787051655
22,davincis22,22,"(2521, 2)","(841, 2)",0.7490622335890879,0.749150036954915,"['detoxis21_aggressiveness', 'haha21']",22,0.7483826731409228,0.015467729376050633,0.728448275862069,0.7717391304347826,"[0.7480366620701575, 0.728448275862069, 0.7356979405034325, 0.7579913568341725, 0.7717391304347826]",422.55512759508565
23,davincis22,23,"(2521, 2)","(841, 2)",0.7458316838847813,0.7463443061004037,"['detoxis21_aggressiveness', 'exist21']",23,0.7496968821681425,0.01546974347817553,0.7306914390434085,0.7738267800339149,"[0.7380705394190871, 0.7306914390434085, 0.7459909282474374, 0.7599047240968638, 0.7738267800339149]",435.49958522594534
24,davincis22,24,"(2521, 2)","(841, 2)",0.7489766331229746,0.7489766331229746,"['meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo']",24,0.7447874042844435,0.009435298730254699,0.7324416835699796,0.7599047240968639,"[0.7417225317093129, 0.7324416835699796, 0.7397025171624714, 0.7501655648835891, 0.7599047240968639]",605.39233323792
25,davincis22,25,"(2521, 2)","(841, 2)",0.7469887040926377,0.7474529535505146,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21', 'metwo22']",25,0.7519823858904172,0.01541984013824589,0.7326069398033036,0.7759110758237395,"[0.7380705394190871, 0.7326069398033036, 0.7553320175717834, 0.7579913568341725, 0.7759110758237395]",735.5816701119766
26,davincis22,26,"(2521, 2)","(841, 2)",0.7491449252306712,0.7493234407868554,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'misogyny_centrogeo', 'metwo22']",26,0.7468873333081961,0.01764350489583146,0.7207977207977208,0.7738267800339149,"[0.7440687354885853, 0.7207977207977208, 0.7394996739770034, 0.7562437562437563, 0.7738267800339149]",924.8630049258936
27,davincis22,27,"(2521, 2)","(841, 2)",0.7479908257532184,0.7482147933367446,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo']",27,0.7487631765351109,0.016680532818852224,0.7343531416569242,0.7799126637554585,"[0.7379716981132075, 0.7343531416569242, 0.7394996739770034, 0.7520787051729609, 0.7799126637554585]",985.3543463249225
28,davincis22,28,"(2521, 2)","(841, 2)",0.7540013858596875,0.7542782420831202,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'metwo22']",28,0.7500186005951985,0.02024615444055486,0.7206341162124068,0.7797482837528604,"[0.7421283348521509, 0.7206341162124068, 0.7435073713004342, 0.7640748968581403, 0.7797482837528604]",921.9596868269145
29,davincis22,29,"(2521, 2)","(841, 2)",0.7524307259113889,0.7523025754733071,"['haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo']",29,0.7443580229407158,0.017232976817771323,0.7234688846832806,0.7717391304347826,"[0.749882075471698, 0.728448275862069, 0.7234688846832806, 0.7482517482517481, 0.7717391304347826]",824.3722397820093
30,davincis22,30,"(2521, 2)","(841, 2)",0.7479091995221027,0.7480413895048041,"['exist21', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",30,0.7464161852431929,0.016733630719787264,0.7265371591516663,0.7753867702298338,"[0.7479455608000032, 0.7265371591516663, 0.7337961216328379, 0.7484153144016228, 0.7753867702298338]",794.9414193630219
31,davincis22,31,"(2521, 2)","(841, 2)",0.7479091995221027,0.7480413895048041,"['exist21', 'mexa3t18_aggress']",31,0.7479394516625559,0.01589467939751743,0.730529317412226,0.7696480734455418,"[0.7400068383055151, 0.730529317412226, 0.7352772649137327, 0.7642357642357643, 0.7696480734455418]",423.9880625340156
32,davincis22,32,"(2521, 2)","(841, 2)",0.7502149411452064,0.7502586844050259,"['detoxis21_aggressiveness', 'haha21', 'metwo22']",32,0.7472615904906145,0.016046319623594887,0.7265371591516663,0.7717391304347826,"[0.7439761995527591, 0.7265371591516663, 0.7358951965065501, 0.7581602668073142, 0.7717391304347826]",546.5199933019467
33,davincis22,33,"(2521, 2)","(841, 2)",0.7469887040926377,0.7474529535505146,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21', 'misogyny_centrogeo', 'metwo22']",33,0.7500634774107271,0.015042005796931579,0.7326069398033036,0.7760710885433196,"[0.7380705394190871, 0.7326069398033036, 0.7513210670401732, 0.7522477522477522, 0.7760710885433196]",948.6030991938896
34,davincis22,34,"(2521, 2)","(841, 2)",0.749224713740458,0.7494968446187958,"['detoxis21_aggressiveness', 'meoffendes21', 'misogyny_centrogeo']",34,0.7461681855462153,0.012642328415262295,0.7324416835699796,0.7679078999603017,"[0.738161078465261, 0.7324416835699796, 0.7400825134877818, 0.7522477522477522, 0.7679078999603017]",614.1700053438544
35,davincis22,35,"(2521, 2)","(841, 2)",0.7489766331229746,0.7489766331229746,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo']",35,0.7455608087358522,0.014872339683783285,0.7303584520577802,0.7715612525644492,"[0.7360374770582709, 0.7303584520577802, 0.7375991097510084, 0.7522477522477522, 0.7715612525644492]",987.9626147290692
36,davincis22,36,"(2521, 2)","(841, 2)",0.7385963492989411,0.7389988060719768,"['exist21', 'metwo22']",36,0.745574189909944,0.013055287803879647,0.7286159986063381,0.7637299771167048,"[0.7399046192436377, 0.7286159986063381, 0.7379906425229472, 0.7576297120600918, 0.7637299771167048]",351.87926621409133
37,davincis22,37,"(2521, 2)","(841, 2)",0.7456815713444024,0.7459974984365229,"['meoffendes21', 'misogyny_centrogeo', 'metwo22']",37,0.7449531531287332,0.014450704984039098,0.7282717282717283,0.7639063120285827,"[0.7399046192436377, 0.7326069398033036, 0.7282717282717283, 0.7600761662964138, 0.7639063120285827]",534.7216509301215
38,davincis22,38,"(2521, 2)","(841, 2)",0.7512796596674022,0.7511939280231963,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo']",38,0.7444143799508647,0.015002955284321742,0.7303584520577802,0.7715612525644492,"[0.7400068383055151, 0.7303584520577802, 0.7318936085748313, 0.7482517482517481, 0.7715612525644492]",801.059601075016
39,davincis22,39,"(2521, 2)","(841, 2)",0.7549105321443144,0.7548666780374098,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22']",39,0.7472218764687015,0.014960253372825374,0.7303584520577802,0.7717391304347826,"[0.7420391676097071, 0.7303584520577802, 0.7358951965065501, 0.7560774357346873, 0.7717391304347826]",768.1592360741924
40,davincis22,40,"(2521, 2)","(841, 2)",0.747824653500663,0.7478679856728637,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress']",40,0.7491489961722816,0.011150199305401919,0.7379716981132075,0.7677345537757437,"[0.7379716981132075, 0.7404284989858012, 0.7437070938215103, 0.7559031361651448, 0.7677345537757437]",623.3138886350207
41,davincis22,41,"(2521, 2)","(841, 2)",0.7490622335890879,0.749150036954915,"['detoxis21_aggressiveness', 'mexa3t18_aggress', 'misogyny_centrogeo']",41,0.7475956169961726,0.012868888393959423,0.735933697400029,0.7719094878920207,"[0.735933697400029, 0.7383478312560684, 0.7437070938215103, 0.7480799746112345, 0.7719094878920207]",607.5290506980382
42,davincis22,42,"(2521, 2)","(841, 2)",0.7464965761994677,0.746412530558872,"['exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",42,0.7468817202217255,0.01586458990299523,0.7287749287749288,0.7757437070938215,"[0.7438755410872462, 0.7287749287749288, 0.7375991097510084, 0.7484153144016228, 0.7757437070938215]",934.7736441299785
43,davincis22,43,"(2521, 2)","(841, 2)",0.747824653500663,0.7478679856728637,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",43,0.7494821131558311,0.012834408573800521,0.7322677322677322,0.7698237141938071,"[0.7400068383055151, 0.7322677322677322, 0.7513210670401732, 0.7539912139719276, 0.7698237141938071]",918.7338284431025
44,davincis22,44,"(2521, 2)","(841, 2)",0.7524307259113889,0.7523025754733071,"['haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo']",44,0.7443580229407158,0.017232976817771323,0.7234688846832806,0.7717391304347826,"[0.749882075471698, 0.728448275862069, 0.7234688846832806, 0.7482517482517481, 0.7717391304347826]",801.6074580429122
45,davincis22,45,"(2521, 2)","(841, 2)",0.7487966819143852,0.7486298254590937,"['exist21', 'haha21', 'mexa3t18_aggress', 'metwo22']",45,0.7478790765220813,0.016935252773323292,0.7267016825847923,0.7755689498878799,"[0.7459119496855346, 0.7267016825847923, 0.7354919766535727, 0.755720823798627, 0.7755689498878799]",728.4746336049866
46,davincis22,46,"(2521, 2)","(841, 2)",0.7457580931537646,0.7461709022684633,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21', 'misogyny_centrogeo']",46,0.7484320751918971,0.014565266221469602,0.7326069398033036,0.7738267800339149,"[0.7361328823254407, 0.7326069398033036, 0.747515068623865, 0.7520787051729609, 0.7738267800339149]",793.2918216320686
47,davincis22,47,"(2521, 2)","(841, 2)",0.7526881720430108,0.7528227869691284,"['haha21', 'meoffendes21', 'misogyny_centrogeo']",47,0.7476477823745931,0.015351969300088053,0.7316933638443937,0.7736541939073585,"[0.7480366620701575, 0.7326069398033036, 0.7316933638443937, 0.7522477522477522, 0.7736541939073585]",609.2723094469402
48,davincis22,48,"(2521, 2)","(841, 2)",0.7487966819143852,0.7486298254590937,"['exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",48,0.7482411704117944,0.017022060616209336,0.7287749287749288,0.7774834437086092,"[0.741836285273854, 0.7287749287749288, 0.7373903705029532, 0.755720823798627, 0.7774834437086092]",926.1408924499992
49,davincis22,49,"(2521, 2)","(841, 2)",0.7503795383053207,0.7506054920689067,"['exist21', 'haha21', 'misogyny_centrogeo']",49,0.7467889342558449,0.017352671019346688,0.7265371591516663,0.7755689498878799,"[0.7479455608000032, 0.7265371591516663, 0.7314842793301419, 0.7524087221095335, 0.7755689498878799]",611.4896030311938
50,davincis22,50,"(2521, 2)","(841, 2)",0.7502149411452064,0.7502586844050259,"['detoxis21_aggressiveness', 'haha21', 'misogyny_centrogeo', 'metwo22']",50,0.7461491043790575,0.016432644568955813,0.7286159986063381,0.7759110758237395,"[0.7439761995527591, 0.7286159986063381, 0.7339904996607021, 0.7482517482517481, 0.7759110758237395]",730.1836580068339
51,davincis22,51,"(2521, 2)","(841, 2)",0.7490622335890879,0.749150036954915,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",51,0.7471823844704901,0.01157118909842998,0.735933697400029,0.7677345537757437,"[0.735933697400029, 0.7362637362637363, 0.7478999603017069, 0.7480799746112345, 0.7677345537757437]",930.8245287600439
52,davincis22,52,"(2521, 2)","(841, 2)",0.7469140008403456,0.7472795497185741,"['misogyny_centrogeo', 'metwo22']",52,0.7452762627967795,0.01405722768737478,0.7263637624586363,0.7639063120285827,"[0.7437667410055813, 0.7263637624586363, 0.7343531416569242, 0.7579913568341725, 0.7639063120285827]",356.2420779040549
53,davincis22,53,"(2521, 2)","(841, 2)",0.7549105321443144,0.7548666780374098,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",53,0.7483577524293276,0.015521159471919527,0.7301788100742761,0.7738267800339149,"[0.7460077958003268, 0.7301788100742761, 0.7356979405034325, 0.7560774357346873, 0.7738267800339149]",920.8942290591076
54,davincis22,54,"(2521, 2)","(841, 2)",0.747824653500663,0.7478679856728637,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'misogyny_centrogeo']",54,0.7467836531770168,0.01556929724187454,0.7263637624586363,0.7736541939073585,"[0.7440687354885853, 0.7263637624586363, 0.7394996739770034, 0.7503319000535003, 0.7736541939073585]",798.1168622549158
55,davincis22,55,"(2521, 2)","(841, 2)",0.7397511895433743,0.7401074535220876,"['exist21', 'misogyny_centrogeo']",55,0.7447445017905887,0.013958007464471579,0.7286159986063381,0.7656419529837251,"[0.7397941323390012, 0.7286159986063381, 0.7335929892891919, 0.7560774357346873, 0.7656419529837251]",424.44105623383075
56,davincis22,56,"(2521, 2)","(841, 2)",0.7445263970746885,0.744888850986412,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21']",56,0.7515764224113745,0.014647276898298117,0.7326069398033036,0.7738267800339149,"[0.741941823899371, 0.7326069398033036, 0.747515068623865, 0.7619914996964178, 0.7738267800339149]",612.8066696377937
57,davincis22,57,"(2521, 2)","(841, 2)",0.7489766331229746,0.7489766331229746,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",57,0.7499696044113418,0.016644746508103006,0.7326069398033036,0.7778298458740225,"[0.7400068383055151, 0.7326069398033036, 0.7394996739770034, 0.7599047240968638, 0.7778298458740225]",1166.6586171870586
58,davincis22,58,"(2521, 2)","(841, 2)",0.7457580931537646,0.7461709022684633,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21', 'misogyny_centrogeo']",58,0.7484320751918971,0.014565266221469602,0.7326069398033036,0.7738267800339149,"[0.7361328823254407, 0.7326069398033036, 0.747515068623865, 0.7520787051729609, 0.7738267800339149]",797.0830525518395
59,davincis22,59,"(2521, 2)","(841, 2)",0.7490622335890879,0.749150036954915,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo']",59,0.7471777482273881,0.011383767895188746,0.735933697400029,0.7677345537757437,"[0.735933697400029, 0.7383478312560684, 0.7437070938215103, 0.7501655648835891, 0.7677345537757437]",819.968276967993
60,davincis22,60,"(2521, 2)","(841, 2)",0.7431302270011946,0.7432599920404799,"['exist21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",60,0.7495334332042536,0.010673146556535269,0.7383478312560684,0.7658206483536993,"[0.741941823899371, 0.7383478312560684, 0.7430824372759857, 0.7584744252361433, 0.7658206483536993]",725.6396058069076
61,davincis22,61,"(2521, 2)","(841, 2)",0.747824653500663,0.7478679856728637,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",61,0.7495871701150428,0.01018004718421589,0.7397941323390012,0.7677345537757437,"[0.7397941323390012, 0.7404284989858012, 0.7478999603017069, 0.7520787051729609, 0.7677345537757437]",732.8959682800341
62,davincis22,62,"(2521, 2)","(841, 2)",0.7503795383053207,0.7506054920689067,"['haha21', 'misogyny_centrogeo']",62,0.746488421495879,0.01748624101242208,0.7255807483655585,0.7759110758237395,"[0.7460955912390409, 0.7326069398033036, 0.7255807483655585, 0.7522477522477522, 0.7759110758237395]",430.89032815699466
63,davincis22,63,"(2521, 2)","(841, 2)",0.7451605790091405,0.7449570754448803,"['exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",63,0.7460870836140823,0.015531624319353355,0.7268573643840168,0.7738267800339149,"[0.741836285273854, 0.7268573643840168, 0.7394996739770034, 0.7484153144016228, 0.7738267800339149]",1113.4413628249895
64,davincis22,64,"(2521, 2)","(841, 2)",0.748888117933435,0.7488032292910342,"['exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress']",64,0.7473939649783599,0.017225717332829838,0.728448275862069,0.7755689498878799,"[0.741941823899371, 0.728448275862069, 0.7333810631823876, 0.7576297120600918, 0.7755689498878799]",796.9930376950651
65,davincis22,65,"(2521, 2)","(841, 2)",0.7442824666098323,0.7443686394905906,"['exist21', 'haha21', 'meoffendes21', 'misogyny_centrogeo', 'metwo22']",65,0.7472769379358468,0.016947947965424745,0.7247863247863247,0.7757437070938215,"[0.7460077958003268, 0.7247863247863247, 0.7375991097510084, 0.7522477522477522, 0.7757437070938215]",925.050976583967
66,davincis22,66,"(2521, 2)","(841, 2)",0.7445263970746885,0.744888850986412,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21']",66,0.7515764224113745,0.014647276898298117,0.7326069398033036,0.7738267800339149,"[0.741941823899371, 0.7326069398033036, 0.747515068623865, 0.7619914996964178, 0.7738267800339149]",607.7942688551266
67,davincis22,67,"(2521, 2)","(841, 2)",0.7469140008403456,0.7472795497185741,['metwo22'],67,0.7472209473611355,0.012726116612269868,0.7303584520577802,0.7639063120285827,"[0.7437667410055813, 0.7303584520577802, 0.7383478312560684, 0.7597254004576658, 0.7639063120285827]",160.69982989388518
68,davincis22,68,"(2521, 2)","(841, 2)",0.7490622335890879,0.749150036954915,"['exist21', 'meoffendes21', 'mexa3t18_aggress']",68,0.7458619936964984,0.014109098156843627,0.730529317412226,0.7654555217469123,"[0.7379716981132075, 0.730529317412226, 0.7352772649137327, 0.7600761662964138, 0.7654555217469123]",618.3274612100795
69,davincis22,69,"(2521, 2)","(841, 2)",0.7469140008403456,0.7472795497185741,"['misogyny_centrogeo', 'metwo22']",69,0.7452762627967795,0.01405722768737478,0.7263637624586363,0.7639063120285827,"[0.7437667410055813, 0.7263637624586363, 0.7343531416569242, 0.7579913568341725, 0.7639063120285827]",353.9921814268455
70,davincis22,70,"(2521, 2)","(841, 2)",0.7502149411452064,0.7502586844050259,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",70,0.7471279141171614,0.01655556451355928,0.7263637624586363,0.7755689498878799,"[0.7440687354885853, 0.7263637624586363, 0.7373903705029532, 0.7522477522477522, 0.7755689498878799]",989.5958550260402
71,davincis22,71,"(2521, 2)","(841, 2)",0.7503795383053207,0.7506054920689067,"['exist21', 'haha21', 'meoffendes21']",71,0.7487443050002915,0.0176948863399753,0.7265371591516663,0.7734741363880436,"[0.7460077958003268, 0.7265371591516663, 0.7337961216328379, 0.7639063120285827, 0.7734741363880436]",612.2736438408028
72,davincis22,72,"(2521, 2)","(841, 2)",0.7549105321443144,0.7548666780374098,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",72,0.7483577524293276,0.015521159471919527,0.7301788100742761,0.7738267800339149,"[0.7460077958003268, 0.7301788100742761, 0.7356979405034325, 0.7560774357346873, 0.7738267800339149]",923.8806134520564
73,davincis22,73,"(2521, 2)","(841, 2)",0.7540013858596875,0.7542782420831202,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'metwo22']",73,0.7500186005951985,0.02024615444055486,0.7206341162124068,0.7797482837528604,"[0.7421283348521509, 0.7206341162124068, 0.7435073713004342, 0.7640748968581403, 0.7797482837528604]",928.3200456190389
74,davincis22,74,"(2521, 2)","(841, 2)",0.7514521170787155,0.7515407356870771,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21']",74,0.7498766921793436,0.018233387978478965,0.7263637624586363,0.7755689498878799,"[0.7440687354885853, 0.7263637624586363, 0.7373903705029532, 0.7659916425586628, 0.7755689498878799]",829.4850587879773
75,davincis22,75,"(2521, 2)","(841, 2)",0.7561487293194611,0.7561487293194611,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'mexa3t18_aggress']",75,0.74678640709492,0.01583130484283738,0.7322677322677322,0.7736541939073585,"[0.7360374770582709, 0.7322677322677322, 0.7358951965065501, 0.7560774357346873, 0.7736541939073585]",815.8839484830387
76,davincis22,76,"(2521, 2)","(841, 2)",0.7502986857825569,0.7504320882369664,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'mexa3t18_aggress', 'metwo22']",76,0.7492329745767068,0.017139478765475637,0.7287749287749288,0.777992071145398,"[0.7400068383055151, 0.7287749287749288, 0.7413996778235188, 0.7579913568341725, 0.777992071145398]",924.6939905621111
77,davincis22,77,"(2521, 2)","(841, 2)",0.7385963492989411,0.7389988060719768,"['exist21', 'misogyny_centrogeo', 'metwo22']",77,0.7471747759819611,0.013097169192169654,0.730529317412226,0.7677345537757437,"[0.7399046192436377, 0.730529317412226, 0.7418022533130532, 0.7559031361651448, 0.7677345537757437]",550.3156673351768
78,davincis22,78,"(2521, 2)","(841, 2)",0.7479908257532184,0.7482147933367446,"['detoxis21_aggressiveness', 'exist21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo']",78,0.7487631765351109,0.016680532818852224,0.7343531416569242,0.7799126637554585,"[0.7379716981132075, 0.7343531416569242, 0.7394996739770034, 0.7520787051729609, 0.7799126637554585]",980.4938333211467
